英语,中文简体,中文繁体,日语,阿尔巴尼亚语,阿拉伯语,阿姆哈拉语,阿塞拜疆语,爱尔兰语,爱沙尼亚语,巴斯克语,白俄罗斯语,保加利亚语,冰岛语,波兰语,波斯尼亚语,波斯语,布尔语(南非荷兰语),丹麦语,德语,俄语,法语,菲律宾语,芬兰语,弗里西语,高棉语,格鲁吉亚语,古吉拉特语,哈萨克语,海地克里奥尔语,韩语,豪萨语,荷兰语,布尔吉斯语,加利西亚语,加泰罗尼亚语,捷克语,卡纳达语,科西塞语,克罗地亚语,库尔德语,拉丁语,拉脱维亚语,老挝语,立陶宛语,卢森堡语,罗马尼亚语,马尔加什语,马耳他语,马拉地语,马拉雅拉姆语,马来语,马其顿语,毛利语,蒙古语,孟加拉语,缅甸语,苗语,南非科萨语,南非祖鲁语,尼泊尔语,挪威语,旁遮普语,葡萄牙语,普什图语,齐切瓦语,瑞典语,萨摩亚语,塞尔维亚语,塞索托语,僧伽罗语,世界语,斯洛伐克语,斯洛文尼亚语,斯瓦希里语,苏格兰盖尔语,宿务语,索马里语,塔吉克语,泰卢固语,泰米尔语,泰语,土耳其语,威尔士语,乌尔都语,乌克兰语,乌兹别克语,西班牙语,希伯来语,希腊语,夏威夷语,信德语,匈牙利语,修纳语,亚美尼亚语,伊博语,意大利语,意第绪语,印地语,印尼異他语,印尼语,印尼爪哇语,约鲁巴语,越南语
pangolin,穿山甲,穿山甲,パンゴリン,pangolin,البنغول حيوان أم قرفة,ፓንጋሊን,pangolin,pangolin,pangoliin,pangolin,яшчар,вид мравояд,pangolin,łuskowiec,pangolin,پنگولین,ietermago,pangolin,Pangolin,ящер,pangolin,pangolin,pangolin,pangoline,ប៉េងកូលីន,პანგოლინი,પેંગોલીન,панганолин,pangolin,천산갑,pangolin,schubdier,кескелдирик,pangolín,pangolí,pangolin,ಪಂಗೋಲಿನ್,pangolin,pangolin,pangolin,Pangolin,pangolīns,pangolin,pangolinas,Pangolin,pangolin,Pangolin,pangolin,पॅन्गोलिन,പാങ്കോലിൻ,pangolin,панголин,pangolin,панолин,প্যান্গোলিন,pangolin,pangolin,pangolin,i-pangolin,pangolin,pangolin,ਪੈਨਗੋਲਿਨ,pangolin,پینګولین,pangolin,myrkott,pangolin,панголин,pangolin,පන්ගෝලින්,pangolin,pangolin,pangolin,pangolin,pangolin,pangolin,Pangolin,панголин,పంగోలిన్,எறும்புண்ணி,ลิ่น,karıncayiyensiniz,pangolin,پینگوئن,панголін,pangolin,pangolin,פנגולין,είδος μυρμηκοφάγου,pangolin,پينگولين,tobzoska,pangolin,pangolin,pangolin,pangolino,פּאַנגאָלין,छिपकली,pangolin,trenggiling,pangolin,Pangolin,con tê tê
panther,豹,豹,パンサー,panterë,النمر,panther,panther,panther,panther,pantera,пантэра,пантера,panther,pantera,panter,پانچر,panther,panter,Panther,пантера,panthère,panther,pantteri,panter,panther,პანტერა,દીપડો,пантер,pant,표범,panther,panter,илбирс,pantera,pantera,panter,ಪ್ಯಾಂಥರ್,pantera,panter,piling,pardus,panther,panther,panther,Panther,panteră,panther,panther,पेंटर,പുള്ളിപ്പുലി,panther,пантер,panther,panther,চিতাবাঘ,ကျားနက်,panther,i-panther,i-Panther,पनीर,panter,ਪੈਂਥਰ,pantera,پينځه,panther,panter,panther,пантер,Panther,පෑන්,pantero,panter,panter,panter,panther,panther,goyso,панта,పాంథర్,சிறுத்தை,เสือดำ,panter,panther,پینٹا,пантера,panter,panter,פַּנתֵר,πανθήρ,panther,پرينء,párduc,panther,panther- ը,panther,pantera,panther,तेंदुआ,macan kumbang,harimau kumbang,panther,panther,con beo
parrot,鹦鹉,鸚鵡,オウム,papagall,ببغاء,ጅራታም,papağan,parrot,papagoi,Loro,папугай,папагал,páfagaukur,papuga,papagaja,طوطی,papegaai,papegøje,Papagei,попугай,perroquet,loro,papukaija,parrot,សេក,თუთიყუში,પોપટ,попугая,jako,앵무새,kara,papegaai,тоту куш,papagaio,lloro,Papoušek,ಗಿಣಿ,pappagaddu,papiga,pepxan,mascarene parrot,papagailis,parrot,papūga,Papagei,papagal,boloky,Pappagall,पोपट,തത്ത,burung nuri,папагал,Tuhinga,тоть,তোতাপাখি,ကွကျတူရှေး,xais phaj,i-parrot,i-parrot,तोता,papegøye,ਤੋਤਾ,papagaio,توت,karoti,papegoja,fala,папагаја,likokoanyana,ගිරවා,papago,papagáj,papiga,papiga,parrot,parrot,xadhig,паррп,చిలుక,கிளி,นกแก้ว,papağan,parot,طوطا,попугай,to'tiqush,to'tiqush,תוּכִּי,παπαγάλος,Pālolo,Parrot,papagáj,parrot,թխվածքաբլիթ,ugbo,pappagallo,פּאַפּוגייַ,तोता,manuk beo,burung beo,Betik,Parrot,con vẹt
peacock,孔雀,孔雀,孔雀,pallua,الطاووس,ፒኮክ,peacock,peacock,paabulind,peacock,паўлін,паун,áfengi,paw,paun,طاووس,pou,påfugl,Pfau,павлин,paon,paboreal,riikinkukko,peacock,ក្ងោក,ფარშევანგი,મોર,Павлина,Peacock,공작,tsuntsaye,Pauw,тоос,pavo real,paó,páv,ನವಿಲು,pavone,paun,teyrê tawûs,pavo,pāvs,peacock,Povas,Pfauen,păun,peacock,peacock,मोर,മയിൽ,merak,паун,te peke,тогос,ময়ুর,ဉဒေါင်း,peacock,ipaki,ipaki,मोरक,påfugl,ਮੋਰ,pavão,مورک,peacock,påfågel,suauʻu,паун,peacock,මොර්දෙකයි,pavo,páv,pav,pav,peacock,peacock,riwaayadaha,Помир,నెమలి,மயில்,นกยูง,tavuskuşu,pewock,مور,павич,tovus,tovus,טַוָס,παγώνι,ka piʻi,ماڻهو,páva,Peacock,սիրամարգ,ube,pavone,פּאַווע,मोर,manuk merak,merak,merak,peacock,con công
peccary,野猪,野豬,ペッカリー,derrin,حيوان امريكي شبيه بالخنزير,ቆርቆሮ,peccary,peacaigh,peccary,peccary,пекары,американска дива свиня,peccary,pekari,pekarija,peccary,pekary,peccary,Pekari,пекари,pécari,peccary,napasian,peccary,peccary,peccary,પેકશીરી,фекарий,peccary,페 케리,peccary,pekary,peccary,peccary,peccary,pekka,ಪೆಕ್ಕೇರಿ,peccary,pekari,paqij,peccary,peccary,peccary,peccary,peccary,pecari,peccary,peccary,क्षुल्लक,പെക്കറി,pecandu,peccary,Tuhinga,эмзэг,দক্ষিণ আমেরিকার শূকসদৃশ প্রাণীবিশেষ,peccary,peccary,peccary,i-peccary,peccary,peccary,ਸਕਾਰਾਤਮਕ,pecarício,خوشحاله,peccary,peccary,peccary,пекарија,peccary,වකුගඩු,sinjorino,pekari,pekarno,pekarno,pheacaidh,peccary,geedka,престикӣ,peccary,peccary,สัตว์เพคะริ,pekari,pechion,پنکری,peccary,peccary,peccary,פוקרי,χοίρος της Νότιας Αμερικής,kūkā,بلڪل,pekari,peccary,Հեղինակ,peccary,pecari,peccary,अमेरिका देश का सुअर के आकार का एक चौपाया,peccary,peccary,peccary,peccary,peccary
penguin,企鹅,企鵝,ペンギン,pinguin,البطريق طائر,ፔንግዊን,pinqvin,Penguin,pingviin,pinguino,пінгвін,пингвин,mörgæs,pingwin,pingvin,پنگوئن,pikkewyn,pingvin,Pinguin,пингвин,manchot,penguin,pingviini,pinguin,ភេនឃ្វីន,penguin,પેંગ્વિન,пингвин,pengwen,펭귄,penguin,pinguïn,пингвин,pingüín,pingüí,tučňák,ಪೆಂಗ್ವಿನ್,pinguinu,pingvin,pengûwîn,penguin,pingvīns,penguin,pingvinas,Pinguin,pinguin,vorondrano,pingwin,पेंग्विन,പെന്ഗിന് പക്ഷി,penguin,пингвин,penguin,оцон шувуу,পেংগুইন,ပင်ဂွင်ငှက်,penguin,ipenguin,i-penguin,पेंगुइन,pingvin,ਪੈਨਗੁਇਨ,pinguim,پینگوین,penguin,pingvin,penguin,пингвин,penguin,පෙන්ගුයින්,pingveno,tučniak,pingvin,pingvin,penguin,Pagpangita,penguin,penguin,పెంగ్విన్,பென்குவின்,เพนกวิน,penguen,pengwin,پینگوئن,пінгвін,penguen,penguen,פינגווין,πιγκουίνος,penguin,پينگوئن,pingvin,penguin,պինգվին,penguin,pinguino,פּינגווין,पेंगुइन,pingguin,pinguin,penguin,Penguin,chim cánh cụt
pig,猪,豬,豚,derr,خنزير,አሳማ,donuz,muc,siga,txerri,свіння,прасе,svín,świnia,svinja,خوک,vark,svin,Schwein,свинья,porc,baboy,sika,baarch,ជ្រូក,ღორის,ડુક્કર,шошқа,kochon,돼지,alade,varken,чочко,porco,porc,prase,ಹಂದಿ,porcu,svinja,beraz,Porcus,cūka,ຫມູ,kiaulė,Schwäin,porc,kisoa,ħanżir,डुक्कर,പന്നി,babi,свиња,poaka,гахай,শূকর,ဝက်,npua,ihagu,ingulube,सुँगुर,gris,ਸੂਰ,porco,سور,nkhumba,gris,puaa,свиња,kolobe,ඌරෙක්,porko,prasa,prašič,prašič,muc,baboy,doofaarka,хук,పంది,பன்றி,หมู,domuz,mochyn,سور,свиня,cho'chqa,cho'chqa,חֲזִיר,Χοίρος,puaʻa,سور,malac,nguruve,խոզ,ezi,maiale,חזיר,सूअर,babi,babi,babi,ẹlẹdẹ,con lợn
pigeon,鸽子,鴿子,鳩,pëllumb,حمامة,እርግብ,göyərçin,colún,tuvi,uso,галубіныя,гълъб,dúfu,Gołąb,golub,کبوتر,duif,Due,Taube,голубь,Pigeon,kalapati,kyyhkynen,pigeon,pigeon,მტრედი,કબૂતર,кептер,pijon,비둘기,pigeon,duif,көгүчкөн,paloma,colom,holub,ಪಾರಿವಾಳ,pigeon,Golub,kevok,"columbæ offeret,",baložu,pigeon,balandis,Taucher,porumbel,voromailala,ħamiem,कबूतर,പ്രാവ്,merpati,гулаб,pigeon,Тагтаа,পায়রা,ခို,nquab,ijuba,ijuba,कबूतर,Due,ਕਬੂਤਰ,Pombo,كوتره,nkhunda,duva,lupe,голуб,leeba,පරවියා,kolombo,holub,Golob,Golob,calman,salampati,xamaam,кабӯтар,పావురం,புறா,นกพิราบ,güvercin,colomennod,کبوتر,голуб,kaptar,kaptar,יוֹנָה,περιστέρι,kukupa,ڪبوتر,galamb,pigeon,աղավնին,nduru,piccione,טויב,कबूतर,japati,merpati,pigeon,ẹiyẹle,chim bồ câu
platypus,鸭嘴兽,鴨嘴獸,カモノハシ,Platypus,بلانبوس منقار البطة,ፕላትቲፕስ,platypus,platypus,platypus,Platypus,качканосы,птицечовка,blóðflagnafæð,dziobak,platypus,پاتایپوس,Platypus,næbdyr,Schnabeltier,утконос,ornithorynque,platypus,vesinokkaeläin,platypus,platypus,პლატპუსი,પ્લેટિપસ,платипус,ornitorenk,오리너구리,platypus,vogelbekdier,өрдөк тумшук,platypus,Platypus,ptakopysk,ಪ್ಲಾಟಿಪಸ್,platypus,kljunar,platypus,platypus,platypus,platypus,platypus,Platypus,ornitorinc,ornithorynque,platypus,प्लॅटिपस,പ്ലാറ്റിബസ്,platipus,птицечовка,Tuhinga o mua,platypus,প্লাটিপাস,platypus,platypus,i-platypus,i-platypus,platypus,nebbdyr,ਪਲੈਟਿਪਸ,ornitorrinco,پلاټپوس,mbale,näbbdjur,pusa,платипус,platypus,බෝටිටුස්,platypus,vtákopysk,platypus,platypus,platypus,platypus,qulqulka,толор,ప్లాటిపస్,கடிதத்துக்கு,ตัวพแลทิพัซ,ornitorenk,platypus,پلاٹپوس,платипус,platfiy,platfiy,פלטיפוס,πλατύπους,platypus,پلاٽپوس,kacsacsőrű emlős,platypus,platypus,platypus,ornitorinco,פּלאַטאָפּוס,एक प्रकार का बत्तक-सदृश नाक से पशु,platypus,platipus,platipus,platypus,thú mỏ vịt
puma,美洲狮,美洲獅,プーマ,pumë,كوجر,ፑማ,puma,puma,puma,puma,пума,пума,Puma,puma,puma,پوما,puma,puma,Puma,пума,puma,puma,puuma,puma,puma,პუმას,પુમા,пума,puma,퓨마,puma,poema,Puma,puma,puma,puma,ಪೂಮಾ,puma,puma,puma,pausa,Puma,puma,Puma,puma,puma,Puma,puma,मांजराच्या जातीचा प्राणी,പ്യൂമ,puma,puma,puma,Пума,বনবিড়াল,puma,puma,ipuma,puma,puma,puma,ਪੂਮਾ,Puma,پاما,puma,puma,puma,пума,puma,පීමා,pumo,puma,puma,puma,puma,puma,puma,Пума,ప్యూమా,பூமா,เสือพูมา,puma,pwma,پما,пума,puma,puma,פּוּמָה,πούμα,puma,پاما,puma,puma,puma,puma,puma,פּומאַ,प्यूमा,Puma,puma,puma,Puma,puma
rabbit,兔子,兔子,ウサギ,lepur,أرنب,ጥንቸል,dovşan,coinín,Jänes,untxi,трусік,заек,kanína,Królik,zec,خرگوش,haas,kanin,Hase,кролик,lapin,kuneho,kani,knyn,ទន្សាយ,კურდღელი,સસલું,үй қоян,lapen,토끼,zomo,konijn,коен,coello,conill,králičí,ಮೊಲ,rabbit,zec,kevroşk,Lepus,trusis,rabbit,triušis,Kanéngchen,iepure,bitro,fenek,ससा,മുയൽ,arnab,зајак,rapeti,туулай,খরগোশ,ယုန်,luav,umvundla,unogwaja,खरगोश,kanin,ਖ਼ਰਗੋਸ਼,Coelho,سوى,Kalulu,kanin,lapiti,зец,'mutlanyana,හාවා,kuniklo,králik,zajec,zajec,coineanach,koneho,bakayle,харгӯш,కుందేలు,முயல்,กระต่าย,tavşan,cwningod,خرگوش,кролик,quyon,quyon,ארנב,κουνέλι,lapalapa,خرابي,nyúl,murwi,նապաստակ,oke oyibo,coniglio,קיניגל,खरगोश,kalinci,kelinci,terwelu,Ehoro,Con thỏ
raccoon,狸,狸,ラクーン,rakun,حيوان الراكون,ሩኖ,yenot,racún,pesukaru,raccoon,янот,миеща мечка,raccoon,szop pracz,rakun,راکون,wasbeer,vaskebjørn,Waschbär,енот,raton laveur,raccoon,pesukarhu,raccoon,ភេសជ្ជៈ,raccoon,રેક્યુન,ракушка,raccoon,너구리,raccoon,wasbeer,енот,mapache,mapache,mýval,ರಕೂನ್,raccoon,rakun,gornebaş,raccoon,jenots,raccoon,Ežeras,Raccoon,Raccoon,raccoon,rakkun,रॅकून,റാക്കൂൺ,raccoon,Raccoon,raccoon,элбэнх,র্যাকুন,ရက်ကွန်းဝံ,raccoon,raccoon,i-raccoon,रेकोकोन,vaskebjørn,ਰਕੋਨ,guaxinim,نسلیک,raccoon,tvättbjörn,raccoon,ракун,raccoon,රාකියුං,raketon,medvedík čistotný,Rakun,Rakun,raccoon,Raccoon,jinsiyad,Радиои Озодӣ,రక్కూన్,ரக்கூன்,สัตว์คล้ายหมีเล็ก,rakun,raccoon,نسل پرستی,єнот,rakun,rakun,דביבון,ρακούν,lālā,نسل پرست,mosómedve,raccoon,Ջրարջ,raccoon,procione,שאַפּ,एक प्रकार का जानवर,rakun,rakun,rakun,raccoon,gấu trúc
rattlesnake,响尾蛇,響尾蛇,ガラガラヘビ,gjarpër me zile,أفعى الجلجلة,ተኩስ,rattlesnake,rattlesnake,rattlesnake,rattlesnake,грымучая змяя,гърмяща змия,Rattlesnake,grzechotnik,zvečer,خنده دار,ratelslang,klapperslange,Klapperschlange,гремучая змея,serpent à sonnette,rattlesnake,kalkkarokäärme,rattlesnake,rattlesnake,rattlesnake,રેટલસ્નેક,шатқалдануы,rattlesnake,방울뱀,rattlesnake,ratelslang,калдыркандуу жылан,serpida de cascada,serp de cascavell,chřestýš,ರಾಟಲ್ಸ್ನೇಕ್,cascavelle,čegrtuša,marê kor,rattlesnake,grūsmainais,rattlesnake,griuvėsiai,Schlécker,șarpe-cu-clopoței,rattlesnake,qċaċet tal-fekruna,रॅटलस्नेक,രാത്ൽനസ് സ്നേക്,rattlesnake,златница,rattlesnake,rattlesnake,র্যাটল-সাপ,အမွီးကခလောကျသံပွုတတျသောမွှေဆိုး,rattlesnake,i-rattlesnake,i-rattlesnake,rattlesnake,klapperslange,ਰੈਟਲਸੇਨਕੇ,cascavel,رټلیټینیک,rattlesnake,skallerorm,rattlesnake,звечер,rattlesnake,ස්ටැවල්නැකි,rattlesnake,štrkáč,rattlesnake,rattlesnake,daingneachadh,rattlesnake,rattlesnake,rattlesnake,Rattlesnake,பாம்பின்,งูกะปะ,çıngıraklı yılan,llygod blodau,rattlesnake,грюкітне сміття,rattlesnake,rattlesnake,אֶפעֶה,κροταλίας,rattlesnake,رٽٽلنڪ,csörgőkígyó,rattlesnake,rattlesnake,rattlesnake,serpente a sonagli,ראַפּלעסנאַקע,नाग,oray ngencring,ular berbisa,rattlesnake,rattlesnake,con rắn đuôi chuông
raven,掠夺,掠奪,カラス,korb,غراب أسود,ቁራ,raven,raven,Vares,bele,варонай,гарван,rifinn,kruk,gavran,کلاغ سیاه,kraai,ravn,Rabe,вороной,corbeau,uwak,korppi,raaf,ក្អែក,raven,જંગલી કાગડો,қарақұрым,kònèy,갈가마귀,hankaka,raaf,карга,corvo,corb,Havran,ರಾವೆನ್,raven,gavran,qerxe,vulpes corvum,krauklis,raven,Varnas,Raven,corb,goaika,raven,रावेन,കാക്ക,burung gagak,гавран,te raweni,хар,গোগ্রাসে গেলা,တောကျီးကန်း,raven,ngcwaba,igwababa,raven,Ravn,ਰੇਵਣ,Raven,رویان,mphutsi,korp,faga,Гавран,sekhoaba,ගැහුවේ,korvo,havran,gavran,gavran,fitheach,uwak,tuke,шиноварӣ,కాకి,அண்டங்காக்கை,ดำขลับ,kuzgun,fithyn,ریوین,ворон,qarg'a,qarg'a,עוֹרֵב,κοράκι,koraka,رهان,holló,raven,ավարը,ugoloọma,Corvo,ראַווען,काला कौआ,manuk gagak,gagak,manuk gagak,ẹiyẹ,quạ
salmon,三文鱼,三文魚,サーモン,salmon,سمك السالمون,ሳልሞን,somon,bradán,lõhe,izokina,ласось,сьомга,lax,łosoś,losos,ماهی سالمون,salm,laks,Lachs,лосось,Saumon,salmon,lohi,salm,ត្រីសាម៉ុង,ორაგული,સૅલ્મોન,ақсерке,somon,연어,kifi,Zalm,лосось,salmón,salmó,losos,ಸಾಲ್ಮನ್,salmone,losos,sormasî,salmo,lasis,salmon,lašiša,Lachs,somon,saumon,salamun,साल्मन,സാൽമൺ,salmon,лосос,himona,хулд,স্যালমন মাছ,ဆယ်လ်မွန်,ntses liab,islamoni,uhlobo lwenhlanzi,सामन,laks,ਸਾਮਨ ਮੱਛੀ,salmão,سلمن,salimoni,lax,samani,лосос,salemone,සැමන්,salmo,losos,lososa,lososa,bradan,salmon,salmon,озодмоҳӣ,సాల్మన్,சால்மன்,แซลมอน,Somon,eog,سالم,лосось,go'shti Qizil baliq,go'shti Qizil baliq,סלמון,σολομός,salmon,سامونڊي,lazac,saumoni,սաղմոն,salmọn,salmone,סאַלמאָן,सैल्मन,lauk salmon,ikan salmon,salmon,eja salumoni,cá hồi
scorpion,蝎,蠍,サソリ,akrep,برج العقرب,ጊንጥ,akrep,scairp,skorpion,scorpion,скарпіён,скорпион,Sporðdrekinn,Skorpion,škorpija,عقرب,skerpioen,skorpion,Skorpion,скорпион,Scorpion,alakdan,skorpioni,scorpion,ខ្យាដំរី,მორიელი,વીંછી,шаян,eskòpyon,투석기,kunama,schorpioen,чаян,escorpión,escorpí,Štír,ಚೇಳು,scorpion,škorpion,dûpişk,scorpionem,skorpions,scorpion,skorpionas,scorpion,scorpion,scorpion,scorpion,विंचू,തേൾ,kalajengking,скорпија,kopiona,хилэнцэт хорхой,বিছা,ကင်းမြီးကောက်,scorpion,i-scorpion,i-scorpion,बिस्कुट,skorpion,ਬਿੱਛੂ,escorpião,ډوډۍ,scorpion,skorpion,afua,сцорпион,scorpion,ගෝනුයි,skorpio,škorpión,škorpijon,škorpijon,sgorpion,ang tanga,Scorpion,scorpion,తేలు,தேள்,แมงป่อง,akrep,sgorpion,بکتر,скорпіон,chayon,chayon,עַקרָב,σκορπιός,wiona,ٻڏل,skorpió,scorpion,կարիճ,akpị,scorpione,סקאָרפּיאָן,बिच्छू,kalajengking,kalajengking,kalajengking,ilọ-ara,bọ cạp
seagull,海鸥,海鷗,カモメ,pulëbardhë,نورس طائر مائي,ሲጋል,şimal,faoileán,kajakas,kaio,чайка,чайка,seagull,mewa,galeb,مرغ دریایی,seagull,måge,Möwe,чайка,mouette,seagull,lokki,seagull,ស៊ីហ្គោល,ზღარბი,સીગલ,шағала,mwèt,갈매기,kullun,zeemeeuw,ак чардак,gaviota,gavina,racek,ಸೀಗಲ್,gaviota,galeb,teyrav,larum,kaļķakmens,seagull,kajakas,Méck,pescăruş de mare,ny varevaka,seagull,सीगल,കടൽ,camar,галеб,kohua,цахлай,সীগাল,ပင်လယ်ဇင်ယော်,seagull,seagull,i-seagull,सीगल,måke,ਸੀਗਲ,gaivota,سیګل,nyanja,fiskmås,fuagogo,галеб,sekeletsi,ගැවසෙනවා,gavo,čajka,galeb,galeb,faoileag,seagull,seagull,бензин,సీగల్,கடற்பறவை,นกนางนวล,martı,fawn,سمگل,чайка,Chayon,Chayon,שַׁחַף,Γλάρος,ke kai,سامونڊي,sirály,seagull,ծովափը,oké osimiri,gabbiano,מעווע,गंगा-चिल्ली,manuk camar,camar,seagull,omi okun,chim biển
sea cucumber,海参,海參,ナマコ,Kastravec deti,خيار البحر,የባሕር ኪያር,dəniz xiyarı,cucumber farraige,mere kurk,itsas pepino,марскі агурок,морска краставица,sjávargúrka,ogórek morski,morski krastavac,خیار دریایی,seekomkommer,søpølse,Seegurke,морской огурец,concombre de mer,sea cucumber,merimakkara,sjoggum,ត្រសក់សមុទ្រ,ზღვის კიტრი,દરિયાઈ કાકડી,теңіз қияры,lanmè konkonm,해삼,teku kokwamba,zeekomkommer,деңиз бадыраңы,pepino de mar,cogombre de mar,mořská okurka,ಸಮುದ್ರ ಸೌತೆಕಾಯಿ,u cucinu di mare,morski krastavac,deryaya deryayê,mare cucumis,jūras gurķis,ຫມາກແຕງທະເລ,jūros agurkas,Mier geraicht,castravete de mare,kongona amoron-dranomasina,ħjar tal-baħar,समुद्री काकडी,കടൽ വെള്ളരി,gamat,морска краставица,te kūkamo moana,далайн өргөст хэмх,সামুদ্রিক শসা,ပင်လယ်သခွားသီး,hiav txwv dib,ikhukhamba yolwandle,ikhukhamba elwandle,समुद्री ककड़ी,sjøpølse,ਸਮੁੰਦਰੀ ਖੀਰੇ,pepino do mar,د سمندر کڅوړی,nyanja nkhaka,sjögurka,sami kukumba,морски краставац,likomkomere tsa leoatle,මුහුදු පිපිඤ්ඤා,maro kukumo,morská uhorka,morski kumar,morski kumar,cucair mara,sea cucumber,qajaar badda,бодиринг баҳр,సముద్రపు దోసకాయ,கடல் வெள்ளரி,แตงกวาทะเล,Deniz hıyarı,ciwcymbr môr,سمندر ککڑی,морський огірок,dengiz bodringi,dengiz bodringi,מלפפון ים,θαλάσσιο αγγούρι,ke kai,سمنڊ ۾ ڪڪڙ,tengeri uborka,sea cucumber,ծովային վարունգ,oké osimiri kukumba,cetriolo di mare,ים וגערקע,समुद्र खीर,bonténg laut,timun laut,segara timun,okun kukumba,Hải sâm
sea urchin,海胆,海膽,うに,Iriq Deti,بحر يورتشين,የባህር urchርኪን,dənizkirpisi,caorach farraige,meri-urchin,itsas arrainak,марскі вожык,морски таралеж,ígulker,jeżowca,morski jež,دریاچه یخ,see-egel,søpindsvin,Seeigel,морской еж,oursin,dagat urchin,merisiili,see urchin,សមុទ្រ urchin,ზღვის ზღარბი,દરિયાઇ ઉર્ચિન,теңіз кірпісі,lanmè linèt,성게,teku urchin,zee-egel,деңиз кирписи,erizo de mar,eriçó de mar,mořský ježek,ಕಡಲ ಚಿಳ್ಳೆ,erchinatu di mari,morski jež,deryaya urchin,mare urchin,jūras ezis,ເຫມັ້ນ​ທະ​ເລ,Jūrų ežiai,Mieres,arici de mare,ranomasina urchin,ħlewwiet tal-baħar,समुद्रातील साखळी,കടലിന്റെ urchin,Landak laut,морски еж,moana,далайн urchin,সমুদ্র সৈকত,ပင်လယ် urchins,hiav txwv urchin,into yolwandle,i-sea urchin,समुद्री अर्चिन,sjøpølse,ਸਮੁੰਦਰ ਦੇ urchin,ouriço-do-mar,د سمندر سمندر,nyanja ya urchin,sjöborre,sea urchin,морски јеж,tlhapi ea leoatle,මුහුදු වෙරළේ,maro urchino,morský ježko,morski ježek,morski ježek,crann-mara,tuyom,barkada badda,бангдона,సముద్రపు అర్చిన్,கடல் முள்ளெலி,เม่นทะเล,Deniz kestanesi,rhosyn môr,سمندر ارچن,морський їжак,dengiz urchin,dengiz urchin,קיפוד ים,αχινός,ke kai,سمنڊ جو urchin,tengeri sün,maruva urchin,ծովային սուսեր,sea urchin,Riccio di mare,ים ורטשין,समुद्री अर्चिन,landak,bulu babi,segara,okun urchin,Nhím Biển
shark,鲨鱼,鯊魚,鮫,peshkaqen,قرش,ሻርክ,köpəkbalığı,siorc,haid,marrazo,акула,акула,hákarl,rekin,ajkula,کوسه,haai,haj,Hai,акула,requin,pating,Hai,haai,ត្រីឆ្លាម,ზვიგენი,શાર્ક,акула,reken,상어,shark,haai,акула,tiburón,tauró,žralok,ಶಾರ್ಕ್,mari,morski pas,sehmasî,PISTRIS,haizivs,ປາສະຫລາມ,ryklys,Haif,rechin,antsantsa,kelb il-baħar,शार्क,സ്രാവ്,jerung,ајкула,toki,акул,হাঙ্গর,ငါးမန်း,shark,ukrebe,ushaka,शार्क,hai,ਸ਼ਾਰਕ,Tubarão,شارک,Shaki,haj,malie,ајкула,shaka,මෝරා,ŝarko,žralok,morski pes,morski pes,siorc,iho,sharku,наҳанг,షార్క్,சுறா,ปลาฉลาม,Köpekbalığı,siarc,شارک,акула,Akula,Akula,כריש,καρχαρίας,shark,شيار,cápa,shark,shark,akụm,squalo,שאַרק,शार्क,hiu,hiu,hiu,eja Shaki,cá mập
sheep,羊,羊,羊,dhen,خروف,በጎች,qoyun,caorach,lambad,ardiak,авечка,овца,sauðfé,owca,ovce,گوسفند,skape,får,Schaf,овца,mouton,tupa,lammas,skiep,ចៀម,ცხვარი,ઘેટાં,қойлар,mouton,양,tumaki,schapen,кой,ovellas,ovelles,ovce,ಕುರಿ,pecuri,ovca,pez,ovium,aitas,ແກະ,avys,Schof,oaie,ondry,nagħaġ,मेंढी,ആടുകൾ,domba,овци,hipi,хонь,মেষ,သိုး,yaj,izimvu,izimvu,भेडा,sau,ਭੇਡ,ovelha,پسونه,nkhosa,får,mamoe,овце,linku,බැටළුවන්,ŝafoj,ovce,ovce,ovce,caoraich,mga karnero,idaha,гӯсфандон,గొర్రెలు,ஆடுகள்,แกะ,koyun,defaid,بھیڑ,овець,qo'ylar,qo'ylar,כבשים,πρόβατο,hipa,رڍ,juh,makwai,ոչխարները,atụrụ,pecora,שעפּס,भेड़,domba,domba,wedhus,agutan,cừu
skunk,臭鼬,臭鼬,スカンク,zdrugoj,شخص بغيض,ስካን,skunk,skunk,skunk,skunk,скунс,скункс,skunk,skunks,skunk,اسکن,muishond,stinkdyr,Skunk,скунс,moufette,magdaya,haisunäätä,skunk,skunk,საყელო,સ્કન્ક,skunk,skunk,스컹크,skunk,stinkdier,скунс,skunk,skunk,skunk,ಸ್ಕಂಕ್,skunk,tvor,sîxûrgennî,Percula,skunk,skunk,skunkas,Skunk,sconcs,Skunk,skunk,स्कंक,വേദന,skunk,Скенка,skunk,Бүгд,দিতে না পারা,စကင့်,qaug zog,skunk,skunk,skunk,stinkdyr,ਸਕੰਕ,Skunk,سککا,skunk,skunk,skunk,Скунк,skunk,ස්කොක්නය,skunk,skunk,Skunk,Skunk,skunk,skunk,skunk,наҳорӣ,ఉడుము,ஸ்குங்,ตัวเหม็น,kokarca,skunk,سککا,скунту,skunk,skunk,בּוּאֵשׁ,παλιάνθρωπος,skunk,تماچي,bűzös borz,skunk,skunk,skunk,puzzola,skunk,बदमाश,sigung,sigung,skunk,skunk,chồn
